teaser_id,season,week,leg1_game,leg1_market,leg1_side,leg1_open,leg1_teased,leg1_bucket,leg1_signal,leg1_sharp,leg1_score,leg2_game,leg2_market,leg2_side,leg2_open,leg2_teased,leg2_bucket,leg2_signal,leg2_sharp,leg2_score,combo,leg1_win,leg1_outcome,leg2_win,leg2_outcome,status,pnl_120,both,pnl_110
2025-W01-T2,2025,1,DET@GB,spread,DET +2.5,-2.5,-8.5,0.789,1,1,0.8695,HOU@LAR,spread,HOU +2.5,-2.5,-8.5,0.789,1,1,0.8695,spread+spread,0,14,1.0,5.0,graded,-1.0,0.0,-1.0
2025-W02-T2,2025,2,TB@HOU,spread,TB +2,-2.0,-8.0,0.889,1,1,0.9689,SEA@PIT,spread,SEA +2.5,-2.5,-8.5,0.789,1,1,0.8695,spread+spread,1,-1,1.0,-14.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W03-T2,2025,3,KC@NYG,spread,KC -6,6.0,0.0,0.851,1,1,0.9311,LV@WAS,spread,LV +6.5,-6.5,-12.5,0.794,1,1,0.8737,spread+spread,1,-13,0.0,17.0,graded,-1.0,0.0,-1.0
2025-W04-T2,2025,4,CHI@LV,spread,CHI +2,-2.0,-8.0,0.889,0,1,0.9189,NYJ@MIA,spread,NYJ +2.5,-2.5,-8.5,0.789,1,0,0.8395,spread+spread,1,-1,1.0,6.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W05-T2,2025,5,DET@CIN,spread,DET -7.5,7.5,1.5,0.889,0,1,0.9189,TB@SEA,spread,TB +2,-2.0,-8.0,0.889,0,1,0.9189,spread+spread,1,-13,1.0,-3.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W06-T2,2025,6,SF@TB,spread,SF +2,-2.0,-8.0,0.889,1,0,0.9389,LAR@BAL,spread,LAR -7.5,7.5,1.5,0.889,0,1,0.9189,spread+spread,0,11,1.0,-14.0,graded,-1.0,0.0,-1.0
2025-W07-T2,2025,7,NE@TEN,spread,NE -6,6.0,0.0,0.851,1,1,0.9311,PHI@MIN,total,OVER 42.5,42.5,36.5,0.839,0,1,0.8687,spread+total,1,-18,1.0,50.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W08-T2,2025,8,NYJ@CIN,total,OVER 42.5,42.5,36.5,0.839,1,0,0.8887,NYG@PHI,total,OVER 42.5,42.5,36.5,0.839,1,0,0.8887,total+total,1,77,1.0,58.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W09-T2,2025,9,KC@BUF,spread,BUF +1.5,1.5,7.5,0.763,1,1,0.8432,DEN@HOU,total,OVER 39,39.0,33.0,0.81,0,1,0.8395,spread+total,1,7,,33.0,push1,0.9090909090909091,1.0,0.9090909090909091
2025-W10-T2,2025,10,PHI@GB,spread,PHI +3,-3.0,-9.0,0.768,1,1,0.8483,BUF@MIA,total,UNDER 50,50.0,56.0,0.806,0,1,0.8356,spread+total,1,-3,1.0,43.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W11-T2,2025,11,HOU@TEN,spread,HOU -7.5,7.5,1.5,0.889,0,1,0.9189,NYJ@NE,spread,NE -10.5,-10.5,-4.5,0.773,1,1,0.8527,spread+spread,1,-3,1.0,13.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W12-T2,2025,12,CLE@LV,spread,CLE +2,-2.0,-8.0,0.889,0,1,0.9189,SEA@TEN,total,OVER 42.5,42.5,36.5,0.839,0,1,0.8687,spread+total,1,-14,1.0,54.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W13-T2,2025,13,JAX@TEN,total,OVER 42.5,42.5,36.5,0.839,0,1,0.8687,HOU@IND,spread,HOU +4,-4.0,-10.0,0.778,1,1,0.8578,spread+total,0,28,1.0,-4.0,graded,-1.0,0.0,-1.0
2025-W14-T2,2025,14,SEA@ATL,spread,SEA -7.5,7.5,1.5,0.889,0,1,0.9189,PIT@BAL,spread,PIT +6.5,-6.5,-12.5,0.794,1,1,0.8737,spread+spread,1,-28,1.0,-5.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W15-T2,2025,15,ARI@HOU,total,OVER 42.5,42.5,36.5,0.839,0,1,0.8687,MIA@PIT,total,OVER 42.5,42.5,36.5,0.839,0,1,0.8687,total+total,1,60,1.0,43.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W16-T2,2025,16,PIT@DET,spread,PIT +6.5,-6.5,-12.5,0.794,1,1,0.8737,MIN@NYG,spread,NYG +1.5,1.5,7.5,0.763,1,1,0.8432,spread+spread,1,-5,1.0,-3.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W17-T2,2025,17,DEN@KC,spread,DEN -6,6.0,0.0,0.851,1,1,0.9311,SEA@CAR,spread,SEA -7.5,7.5,1.5,0.889,0,1,0.9189,spread+spread,1,-7,1.0,-17.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W18-T2,2025,18,DET@CHI,spread,DET +2,-2.0,-8.0,0.889,0,1,0.9189,ARI@LAR,spread,LAR -9.5,-9.5,-3.5,0.8,0,1,0.83,spread+spread,1,-3,1.0,17.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W19-T2,2025,19,HOU@PIT,total,UNDER 39.5,39.5,45.5,0.784,0,1,0.8138,BUF@JAX,spread,JAX +1,1.0,7.0,0.75,1,0,0.8,spread+total,1,36,1.0,-3.0,graded,0.8333333333333334,1.0,0.9090909090909091
2025-W20-T2,2025,20,LAR@CHI,spread,CHI +4,4.0,10.0,0.946,1,1,1.0259,HOU@NE,total,OVER 41,41.0,35.0,0.797,1,1,0.8766,spread+total,1,-3,1.0,44.0,graded,0.8333333333333334,1.0,0.9090909090909091
